title,description,publishedDate,publishedText,videoId,videoUrl,channelName,channelId,channelUrl,thumbnails,views,viewsText,duration,durationText,verified,creatorOnRise,isShort
mgk & Jelly Roll - Lonely Road (Official Music Video),"?€?Lonely Road?€? from mgk & Jelly Roll is available now: https://mgk.lnk.to/lonelyroad 

Follow mgk:
http://twitter.com/machinegunkelly 
http://instagram.com/machinegunkelly 
https://tiktok.com/@m...",2024-08-01T05:45:43.128Z,6 days ago,b6-JNeXxN3s,https://youtube.com/watch?v=b6-JNeXxN3s,mgk,UCUs8sGiP4avNaYNVO22INhQ,https://youtube.com/channel/UCUs8sGiP4avNaYNVO22INhQ,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/b6-JNeXxN3s/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/b6-JNeXxN3s/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/b6-JNeXxN3s/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/b6-JNeXxN3s/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/b6-JNeXxN3s/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/b6-JNeXxN3s/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/b6-JNeXxN3s/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/b6-JNeXxN3s/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/b6-JNeXxN3s/3.jpg', 'width': 120, 'height': 90}]",5682108,"5,682,108 views",289,4:49,TRUE,FALSE,FALSE
YTB Fatt & Lil Durk - Conspiracy V2 (Official Video),"Stream ""On Zai"" Now: http://ytbfatt.lnk.to/onzai

Director - @JerryPHD 
IG: @ytbfatt & @LilDurk 

Booking: 
Danjoe (901)-900-6557
CP (213)- 479-8876",2024-08-01T03:21:43.128Z,7 days ago,YbDzBpILqNY,https://youtube.com/watch?v=YbDzBpILqNY,YTB Fatt ,UCqfqdCqPHxgtdJ0m32obDiw,https://youtube.com/channel/UCqfqdCqPHxgtdJ0m32obDiw,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/YbDzBpILqNY/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/YbDzBpILqNY/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/YbDzBpILqNY/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/YbDzBpILqNY/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/YbDzBpILqNY/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/YbDzBpILqNY/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/YbDzBpILqNY/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/YbDzBpILqNY/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/YbDzBpILqNY/3.jpg', 'width': 120, 'height': 90}]",2652067,"2,652,067 views",190,3:10,TRUE,FALSE,FALSE
Lil Yachty & Ian - Hate Me (Official Music Video),"Lyrical Lemonade Presents:
Lil Yachty & Ian - Hate Me (Official Music Video)

Watch the Behind the Scenes here: https://youtu.be/dkybau0rat8

Directed by AMD

Song Produced by ChildBoy

Creative...",2024-08-01T05:45:43.128Z,6 days ago,FjFPy3N2tV4,https://youtube.com/watch?v=FjFPy3N2tV4,Lyrical Lemonade,UCtylTUUVIGY_i5afsQYeBZA,https://youtube.com/@lyricalemonade,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/FjFPy3N2tV4/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/FjFPy3N2tV4/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/FjFPy3N2tV4/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/FjFPy3N2tV4/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/FjFPy3N2tV4/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/FjFPy3N2tV4/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/FjFPy3N2tV4/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/FjFPy3N2tV4/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/FjFPy3N2tV4/3.jpg', 'width': 120, 'height': 90}]",4064274,"4,064,274 views",163,2:43,TRUE,FALSE,FALSE
Post Malone ft. Luke Combs - Guy For That (Official Music Video),"Official ?€?Guy For That?€? music video by Post Malone featuring Luke Combs. Get the song here: https://posty.lnk.to/guyforthatYD

???Subscribe for more: https://postmalone.lnk.to/subscribeYD...",2024-08-01T05:45:43.128Z,6 days ago,b1aBzAE-IFY,https://youtube.com/watch?v=b1aBzAE-IFY,Post Malone,UCeLHszkByNZtPKcaVXOCOQQ,https://youtube.com/channel/UCeLHszkByNZtPKcaVXOCOQQ,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/b1aBzAE-IFY/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/b1aBzAE-IFY/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/b1aBzAE-IFY/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/b1aBzAE-IFY/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/b1aBzAE-IFY/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/b1aBzAE-IFY/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/b1aBzAE-IFY/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/b1aBzAE-IFY/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/b1aBzAE-IFY/3.jpg', 'width': 120, 'height': 90}]",4246819,"4,246,819 views",194,3:14,TRUE,FALSE,FALSE
Lil Scoom89 - Blood In Blood Out (Official Music Video),"Official Video for 'Blood In Blood Out'
Dedicated to @BloodyhoundLiljeff 
Nightmares Over East Out Now- https://lilscoom89.lnk.to/NightmatesOverEast
Follow Lil Scoom IG -  https://www.instagram.com...",2024-08-01T00:57:43.128Z,8 days ago,wBR3evySKDY,https://youtube.com/watch?v=wBR3evySKDY,Lil Scoom89,UCoUaFwRR-GHowgFXfkSS_7w,https://youtube.com/@LilScoom89,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/wBR3evySKDY/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/wBR3evySKDY/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/wBR3evySKDY/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/wBR3evySKDY/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/wBR3evySKDY/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/wBR3evySKDY/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/wBR3evySKDY/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/wBR3evySKDY/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/wBR3evySKDY/3.jpg', 'width': 120, 'height': 90}]",1394598,"1,394,598 views",163,2:43,FALSE,FALSE,FALSE
GloRilla - All Dere (feat. Moneybagg Yo) (Official Music VIdeo) ft. Moneybagg Yo,"Stream 'Ehhthang Ehhthang' out everywhere: https://glorilla.lnk.to/EhhthangEhhthang
 
Follow #GloRilla:
Instagram: https://www.instagram.com/glorillapimp/
Twitter: https://twitter.com/GloTheofficia...",2024-08-01T05:45:43.128Z,6 days ago,koWQOttLQcg,https://youtube.com/watch?v=koWQOttLQcg,theofficialGloRilla,UC9bZ9eWvF0eXVqrxK9ve7Nw,https://youtube.com/channel/UC9bZ9eWvF0eXVqrxK9ve7Nw,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/koWQOttLQcg/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/koWQOttLQcg/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/koWQOttLQcg/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/koWQOttLQcg/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/koWQOttLQcg/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/koWQOttLQcg/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/koWQOttLQcg/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/koWQOttLQcg/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/koWQOttLQcg/3.jpg', 'width': 120, 'height': 90}]",1627281,"1,627,281 views",179,2:59,TRUE,FALSE,FALSE
"Ice Spice, Travis Scott - Oh Shhh...","Stream // Download Ice Spice debut album here: https://icespice.lnk.to/Y2K 

Shop Y2K Merch At: ??
https://shop.icespicemerch.com


Music video by Ice Spice, Travis Scott performing Oh Shhh.......",2024-08-01T05:45:43.128Z,6 days ago,9SuP4581LTA,https://youtube.com/watch?v=9SuP4581LTA,Ice Spice,UCJTqwQj5iTHYrko04PbGI9w,https://youtube.com/channel/UCJTqwQj5iTHYrko04PbGI9w,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/9SuP4581LTA/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/9SuP4581LTA/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/9SuP4581LTA/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/9SuP4581LTA/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/9SuP4581LTA/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/9SuP4581LTA/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/9SuP4581LTA/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/9SuP4581LTA/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/9SuP4581LTA/3.jpg', 'width': 120, 'height': 90}]",3927260,"3,927,260 views",165,2:45,TRUE,FALSE,FALSE
Cordae - Saturday Mornings (feat. Lil Wayne) [Official Music Video],"Cordae - Saturday Mornings  (feat. Lil Wayne)
Stream/Download: https://cordae.lnk.to/SaturdayMornings

Follow Cordae
https://cordae.lnk.to/Facebook
https://cordae.lnk.to/Instagram
https://cordae.ln...",2024-08-01T00:57:43.128Z,8 days ago,z2GYJua09F0,https://youtube.com/watch?v=z2GYJua09F0,Cordae,UCPgLVIq1Zr82PD7-f9mxLQQ,https://youtube.com/channel/UCPgLVIq1Zr82PD7-f9mxLQQ,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/z2GYJua09F0/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/z2GYJua09F0/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/z2GYJua09F0/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/z2GYJua09F0/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/z2GYJua09F0/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/z2GYJua09F0/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/z2GYJua09F0/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/z2GYJua09F0/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/z2GYJua09F0/3.jpg', 'width': 120, 'height': 90}]",2900128,"2,900,128 views",267,4:27,TRUE,FALSE,FALSE
Halsey - Lucky (Official Video),"Music video by Halsey performing Lucky (Official Video). (P) 2024 Columbia Records, a Division of Sony Music Entertainment, under exclusive license from Anti-Pop, LLC

http://vevo.ly/wqK7YG",2024-08-01T05:45:43.128Z,6 days ago,zUtTpuqV55U,https://youtube.com/watch?v=zUtTpuqV55U,Halsey,UCOCgB3xd-B-1qAm-hR9OLrA,https://youtube.com/channel/UCOCgB3xd-B-1qAm-hR9OLrA,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/zUtTpuqV55U/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/zUtTpuqV55U/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/zUtTpuqV55U/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/zUtTpuqV55U/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/zUtTpuqV55U/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/zUtTpuqV55U/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/zUtTpuqV55U/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/zUtTpuqV55U/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/zUtTpuqV55U/3.jpg', 'width': 120, 'height': 90}]",4080681,"4,080,681 views",229,3:49,TRUE,FALSE,FALSE
Billie Eilish ?€? WILDFLOWER (Live Performance from Amazon Music?€?s Songline),"Watch Songline with Billie Eilish on Amazon Music, out now: https://amzn.to/BillieEilishSongline

Listen to HIT ME HARD AND SOFT on Amazon Music: https://amzn.to/HITMEHARDANDSOFT

Follow Billie...",2024-08-01T12:57:43.128Z,3 days ago,xAWDqdpOlu8,https://youtube.com/watch?v=xAWDqdpOlu8,Billie Eilish,UCiGm_E4ZwYSHV3bcW1pnSeQ,https://youtube.com/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/xAWDqdpOlu8/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/xAWDqdpOlu8/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/xAWDqdpOlu8/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/xAWDqdpOlu8/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/xAWDqdpOlu8/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/xAWDqdpOlu8/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/xAWDqdpOlu8/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/xAWDqdpOlu8/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/xAWDqdpOlu8/3.jpg', 'width': 120, 'height': 90}]",2209420,"2,209,420 views",288,4:48,TRUE,FALSE,FALSE
PERO NO TE ENAMORES,"Provided to YouTube by Rancho Humilde/Street Mob Records

PERO NO TE ENAMORES ?? Fuerza Regida

PERO NO TE ENAMORES

??? 2024 Rancho Humilde /Streetmob Records. Distributed by Sony Music Entertainm...",2024-08-01T05:45:43.128Z,6 days ago,hezDVHo31ew,https://youtube.com/watch?v=hezDVHo31ew,FUERZA REGIDA,UCFLI6KAjrKRtydD7KqiYvAw,https://youtube.com/channel/UCFLI6KAjrKRtydD7KqiYvAw,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/hezDVHo31ew/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/hezDVHo31ew/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/hezDVHo31ew/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/hezDVHo31ew/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/hezDVHo31ew/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/hezDVHo31ew/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/hezDVHo31ew/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/hezDVHo31ew/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/hezDVHo31ew/3.jpg', 'width': 120, 'height': 90}]",1353266,"1,353,266 views",184,3:04,TRUE,FALSE,FALSE
NEL,"Provided to YouTube by Rancho Humilde/Street Mob Records

NEL ?? Fuerza Regida

PERO NO TE ENAMORES

??? 2024 Rancho Humilde /Streetmob Records. Distributed by Sony Music Entertainment US Latin...",2024-08-01T05:45:43.128Z,6 days ago,eWVMp5yS8_M,https://youtube.com/watch?v=eWVMp5yS8_M,FUERZA REGIDA,UCFLI6KAjrKRtydD7KqiYvAw,https://youtube.com/channel/UCFLI6KAjrKRtydD7KqiYvAw,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/eWVMp5yS8_M/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/eWVMp5yS8_M/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/eWVMp5yS8_M/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/eWVMp5yS8_M/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/eWVMp5yS8_M/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/eWVMp5yS8_M/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/eWVMp5yS8_M/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/eWVMp5yS8_M/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/eWVMp5yS8_M/3.jpg', 'width': 120, 'height': 90}]",1157495,"1,157,495 views",150,2:30,TRUE,FALSE,FALSE
Spinabenz & Whoppa Wit Da Choppa - Foolio Dead (Official Music Video),"Spinabenz & Whoppa Wit Da Choppa - Foolio Dead (Official Music Video)

Stream - https://ffm.to/fooliodead",2024-08-01T05:45:43.128Z,6 days ago,LH7kOfAkSjE,https://youtube.com/watch?v=LH7kOfAkSjE,Spinabenz,UCr4WuTTeREAU_cN9PWU6hqQ,https://youtube.com/channel/UCr4WuTTeREAU_cN9PWU6hqQ,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/LH7kOfAkSjE/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/LH7kOfAkSjE/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/LH7kOfAkSjE/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/LH7kOfAkSjE/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/LH7kOfAkSjE/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/LH7kOfAkSjE/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/LH7kOfAkSjE/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/LH7kOfAkSjE/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/LH7kOfAkSjE/3.jpg', 'width': 120, 'height': 90}]",1413802,"1,413,802 views",127,2:07,TRUE,FALSE,FALSE
Finesse2Tymes - Pretty Ricky [Official Music Video],"FOLLOW FINESSE2TYMES
Instagram: https://Finesse2Tymes.lnk.to/Instagram
TikTok: https://Finesse2Tymes.lnk.to/TikTok
Twitter: https://Finesse2Tymes.lnk.to/Twitter
Facebook: https://Finesse2Tymes.lnk....",2024-08-01T00:57:43.128Z,8 days ago,xIoP_mhYRT0,https://youtube.com/watch?v=xIoP_mhYRT0,Finesse2tymes,UCWot_hGZs3ovEEzAKu_EzLw,https://youtube.com/channel/UCWot_hGZs3ovEEzAKu_EzLw,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/xIoP_mhYRT0/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/xIoP_mhYRT0/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/xIoP_mhYRT0/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/xIoP_mhYRT0/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/xIoP_mhYRT0/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/xIoP_mhYRT0/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/xIoP_mhYRT0/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/xIoP_mhYRT0/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/xIoP_mhYRT0/3.jpg', 'width': 120, 'height': 90}]",584284,"584,284 views",190,3:10,TRUE,FALSE,FALSE
ENHYPEN (????????????) 'Brought The Heat Back' Official MV,"* YouTube ????????? ????????? ?????? ?????? ??????: ?????? ?????? ?????? ????????? ?????? ??? ????????? ????????? ????????? ???????????? ???????????? ?????? ??? ?????? ??????
* How to order...",2024-08-01T17:45:43.128Z,1 day ago,yjxLMzeV76Q,https://youtube.com/watch?v=yjxLMzeV76Q,HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,https://youtube.com/@HYBELABELS,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/yjxLMzeV76Q/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/yjxLMzeV76Q/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/yjxLMzeV76Q/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/yjxLMzeV76Q/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/yjxLMzeV76Q/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/yjxLMzeV76Q/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/yjxLMzeV76Q/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/yjxLMzeV76Q/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/yjxLMzeV76Q/3.jpg', 'width': 120, 'height': 90}]",2144256,"2,144,256 views",192,3:12,TRUE,FALSE,FALSE
Luh Tyler - 2 Slippery (feat. Bossman Dlow) [Official Audio],"Luh Tyler -  2 Slippery (feat. Bossman Dlow) 
Download/Stream: https://LuhTyler.lnk.to/2Slippery

""Mr. Skii"" Available Everywhere 8/23!
Pre-Save Now: https://LuhTyler.lnk.to/Mr.Skii

Follow...",2024-08-01T05:45:43.128Z,6 days ago,qygh0OdUXDA,https://youtube.com/watch?v=qygh0OdUXDA,Luh Tyler,UCwEG-vwbSPLEJGlLmgFneiA,https://youtube.com/channel/UCwEG-vwbSPLEJGlLmgFneiA,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/qygh0OdUXDA/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/qygh0OdUXDA/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/qygh0OdUXDA/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/qygh0OdUXDA/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/qygh0OdUXDA/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/qygh0OdUXDA/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/qygh0OdUXDA/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/qygh0OdUXDA/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/qygh0OdUXDA/3.jpg', 'width': 120, 'height': 90}]",405226,"405,226 views",160,2:40,TRUE,FALSE,FALSE
