title,description,videoId,thumbnails,channelName,channelId,channelUrl,verified,publishedText,publishedDate,viewsText,views,videoUrl,duration,durationText,isShort
Captain America: Brave New World | Official Trailer,"Anthony Mackie and Harrison Ford star in Marvel Studios’ Captain America: Brave New World. Watch the brand-new trailer and experience it only in theaters February 14.

► Watch Marvel on...",1pHDWnXmK7Y,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/1pHDWnXmK7Y/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/1pHDWnXmK7Y/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/1pHDWnXmK7Y/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/1pHDWnXmK7Y/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/1pHDWnXmK7Y/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/1pHDWnXmK7Y/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/1pHDWnXmK7Y/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/1pHDWnXmK7Y/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/1pHDWnXmK7Y/3.jpg', 'width': 120, 'height': 90}]",Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,https://www.youtube.com/@marvel,True,3 days ago,2024-11-10T20:08:31.190Z,"13,482,886 views",13482886,https://www.youtube.com/watch?v=1pHDWnXmK7Y,158,2:38,False
Mission: Impossible – The Final Reckoning | Teaser Trailer (2025 Movie) - Tom Cruise,"Our lives are the sum of our choices. Mission: Impossible – The Final Reckoning. See you at the movies May 23, 2025.

Connect with #MissionImpossible 
 
TikTok: https://www.tiktok.com/@missionimp...",NOhDyUmT9z0,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/NOhDyUmT9z0/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/NOhDyUmT9z0/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/NOhDyUmT9z0/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/NOhDyUmT9z0/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/NOhDyUmT9z0/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/NOhDyUmT9z0/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/NOhDyUmT9z0/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/NOhDyUmT9z0/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/NOhDyUmT9z0/3.jpg', 'width': 120, 'height': 90}]",Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,https://www.youtube.com/@paramountpictures,True,2 days ago,2024-11-11T20:08:31.190Z,"16,567,283 views",16567283,https://www.youtube.com/watch?v=NOhDyUmT9z0,121,2:01,False
Squid Game: Season 2 | Official Teaser | Netflix,"There's no stopping the game.

Squid Game Season 2 on December 26, 2024.

Only on Netflix.

More Info on Squid Game Season 2:
Three years after winning Squid Game, Player 456 gave up going...",lQBmZBJCYcY,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/lQBmZBJCYcY/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/lQBmZBJCYcY/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/lQBmZBJCYcY/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/lQBmZBJCYcY/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/lQBmZBJCYcY/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/lQBmZBJCYcY/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/lQBmZBJCYcY/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/lQBmZBJCYcY/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/lQBmZBJCYcY/3.jpg', 'width': 120, 'height': 90}]",Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,https://www.youtube.com/@Netflix,True,13 days ago,2024-10-31T20:08:31.190Z,"16,981,156 views",16981156,https://www.youtube.com/watch?v=lQBmZBJCYcY,113,1:53,False
Game Changer Teaser - Ram Charan | Kiara Advani | Shankar | Dil Raju - Shirish,"Experience a visual extravaganza by India’s master storyteller S.Shankar’s in the next big #GameChanger starring the Globar Star Ram Charan and the exceptional Kiara Ali Advani, Anjali,...",OXe7N7-xMKM,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/OXe7N7-xMKM/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/OXe7N7-xMKM/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/OXe7N7-xMKM/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/OXe7N7-xMKM/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/OXe7N7-xMKM/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/OXe7N7-xMKM/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/OXe7N7-xMKM/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/OXe7N7-xMKM/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/OXe7N7-xMKM/3.jpg', 'width': 120, 'height': 90}]",Dil Raju,UCR-uD130PlXKww_J2Q63CMg,https://www.youtube.com/@dilraju,True,4 days ago,2024-11-09T20:08:31.190Z,"46,918,155 views",46918155,https://www.youtube.com/watch?v=OXe7N7-xMKM,91,1:31,False
Skeleton Crew | Official Trailer | Disney+,"On December 3, a new Star Wars adventure awaits.

Watch the new trailer for #SkeletonCrew and don't miss the two-episode series premiere, streaming December 3, only on @DisneyPlus.",f19gfOMZTtg,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/f19gfOMZTtg/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/f19gfOMZTtg/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/f19gfOMZTtg/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/f19gfOMZTtg/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/f19gfOMZTtg/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/f19gfOMZTtg/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/f19gfOMZTtg/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/f19gfOMZTtg/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/f19gfOMZTtg/3.jpg', 'width': 120, 'height': 90}]",Star Wars,UCZGYJFUizSax-yElQaFDp5Q,https://www.youtube.com/@StarWars,True,12 days ago,2024-11-01T20:08:31.190Z,"3,579,240 views",3579240,https://www.youtube.com/watch?v=f19gfOMZTtg,120,2:00,False
CAPTAIN AMERICA BRAVE NEW WORLD TRAILER BREAKDOWN! Easter Eggs & Details You Missed!,Captain America: Brave New World Official Trailer Breakdown & Analysis by New Rockstars! Click: https://seed.com/daily-synbiotic?utm_source=newrockstars&utm_medium=youtube&utm_campaign=25p&promo_co...,J6p_zvBd3Ag,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/J6p_zvBd3Ag/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/J6p_zvBd3Ag/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/J6p_zvBd3Ag/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/J6p_zvBd3Ag/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/J6p_zvBd3Ag/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/J6p_zvBd3Ag/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/J6p_zvBd3Ag/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/J6p_zvBd3Ag/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/J6p_zvBd3Ag/3.jpg', 'width': 120, 'height': 90}]",New Rockstars,UC7yRILFFJ2QZCykymr8LPwA,https://www.youtube.com/@NewRockstars,True,22 hours ago,2024-11-12T22:08:31.190Z,"376,020 views",376020,https://www.youtube.com/watch?v=J6p_zvBd3Ag,1637,27:17,False
Mufasa: The Lion King | Final Trailer,"Discover the journey that forged a kingdom. 

Watch the new trailer for #Mufasa: The Lion King and see the movie only in theaters December 20.

Exploring the unlikely rise of the beloved king...",lMXh6vjiZrI,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/lMXh6vjiZrI/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/lMXh6vjiZrI/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/lMXh6vjiZrI/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/lMXh6vjiZrI/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/lMXh6vjiZrI/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/lMXh6vjiZrI/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/lMXh6vjiZrI/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/lMXh6vjiZrI/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/lMXh6vjiZrI/3.jpg', 'width': 120, 'height': 90}]",Disney,UC_5niPa-d35gg88HaS7RrIw,https://www.youtube.com/@Disney,True,5 days ago,2024-11-08T20:08:31.190Z,"4,264,328 views",4264328,https://www.youtube.com/watch?v=lMXh6vjiZrI,144,2:24,False
Dear Santa (starring Jack Black) | Official Trailer | Paramount+,"This holiday, Jack Black is NOT Santa. Dear Santa premieres Nov 25 on Paramount+ and on Digital

When a young boy mails his Christmas wish list to Santa with one crucial spelling error, a devilish...",3n1GUmAhoTs,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/3n1GUmAhoTs/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/3n1GUmAhoTs/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/3n1GUmAhoTs/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/3n1GUmAhoTs/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/3n1GUmAhoTs/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/3n1GUmAhoTs/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/3n1GUmAhoTs/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/3n1GUmAhoTs/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/3n1GUmAhoTs/3.jpg', 'width': 120, 'height': 90}]",Paramount Plus,UCrRttZIypNTA1Mrfwo745Sg,https://www.youtube.com/@paramountplus,True,6 days ago,2024-11-07T20:08:31.190Z,"3,817,480 views",3817480,https://www.youtube.com/watch?v=3n1GUmAhoTs,134,2:14,False
Mafiathon 2 - (Official Trailer) *Extended Version*,"Mafiathon 2 - (Official Trailer) *Extended Version*
FOLLOW ME ON TWITCH: https://www.twitch.tv/kaicenat

 🔴Follow My Socials:
Main Channel: https://youtube.com/c/KaiCenat
Twitter : https://twitt...",1VTR0-8jgng,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/1VTR0-8jgng/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/1VTR0-8jgng/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/1VTR0-8jgng/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/1VTR0-8jgng/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/1VTR0-8jgng/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/1VTR0-8jgng/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/1VTR0-8jgng/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/1VTR0-8jgng/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/1VTR0-8jgng/3.jpg', 'width': 120, 'height': 90}]",Kai Cenat Live,UCvCfpQXRXdJdL07pzTIA6Cw,https://www.youtube.com/@KaiCenatLive,True,2 weeks ago,2024-10-30T20:08:31.190Z,"1,068,326 views",1068326,https://www.youtube.com/watch?v=1VTR0-8jgng,240,4:00,False
Thor 5 : Battle Of The Gods - First Trailer | Marvel Studios & Chris Hemsworth (2026),"#thor #marvelstudios #chrishemsworth 

Watch the 'FAN (CONCEPT) Trailer Concept' For MARVEL STUDIOS' Thor 5 : Battle Of Gods (2026) (More Info About This Video Down Below!)

▶️ Watch More...",KZtP4v9xztA,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/KZtP4v9xztA/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/KZtP4v9xztA/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/KZtP4v9xztA/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/KZtP4v9xztA/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/KZtP4v9xztA/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/KZtP4v9xztA/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/KZtP4v9xztA/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/KZtP4v9xztA/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/KZtP4v9xztA/3.jpg', 'width': 120, 'height': 90}]",Darth Trailer,UCYsx1po2Mghov6Jc-pCg1BA,https://www.youtube.com/@DarthTrailerOfficial,True,6 days ago,2024-11-07T20:08:31.190Z,"418,339 views",418339,https://www.youtube.com/watch?v=KZtP4v9xztA,77,1:17,False
