title,description,publishedDate,publishedText,videoId,videoUrl,channelName,channelId,channelUrl,thumbnails,views,viewsText,duration,durationText,verified,creatorOnRise,isShort
Indie World Showcase + Nintendo Direct: Partner Showcase 8.27.2024,"Join us on August 27 at 7am PT for an Indie World Showcase followed by a Nintendo Direct: Partner Showcase! The livestream, featuring both presentations back-to-back, will be roughly 40 minutes...",2024-08-28T17:40:25.611Z,Streamed 1 day ago,Bh7o96_yIWw,https://youtube.com/watch?v=Bh7o96_yIWw,Nintendo of America,UCGIY_O-8vW4rfX98KlMkvRg,https://youtube.com/@NintendoAmerica,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/Bh7o96_yIWw/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/Bh7o96_yIWw/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/Bh7o96_yIWw/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/Bh7o96_yIWw/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/Bh7o96_yIWw/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/Bh7o96_yIWw/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/Bh7o96_yIWw/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/Bh7o96_yIWw/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/Bh7o96_yIWw/3.jpg', 'width': 120, 'height': 90}]",1923833,"1,923,833 views",2547,42:27,True,False,False
SIDEMEN AMONG US DRAFT MODE: CHOOSE YOUR OWN ROLE,"🍗: Order food NOW at: https://www.eatsides.com/
🎥: Access exclusive content at: https://www.sideplus.com/
🍹: XIX Vodka: https://www.xixvodka.com/
👉🏻: Subscribe to our Reacts...",2024-08-28T17:40:25.611Z,1 day ago,fKjdiU0XlF4,https://youtube.com/watch?v=fKjdiU0XlF4,MoreSidemen,UCh5mLn90vUaB1PbRRx_AiaA,https://youtube.com/@MoreSidemen,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/fKjdiU0XlF4/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/fKjdiU0XlF4/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/fKjdiU0XlF4/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/fKjdiU0XlF4/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/fKjdiU0XlF4/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/fKjdiU0XlF4/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/fKjdiU0XlF4/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/fKjdiU0XlF4/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/fKjdiU0XlF4/3.jpg', 'width': 120, 'height': 90}]",2758726,"2,758,726 views",2580,43:00,True,False,False
NBA 2K25 MYPLAYER BUILDER COMPLETE BREAKDOWN (MUST WATCH),"Check out: https://www.nba2klab.com/ for all Badge Requirements on NBA 2K25 and use code ""joe"" for a discount to premium jumpshot data!

🏀 NBA 2K25 MyPlayer Builder COMPLETE BREAKDOWN |...",2024-08-28T19:34:25.611Z,5 hours ago,x7OCdzexQGw,https://youtube.com/watch?v=x7OCdzexQGw,Joe Knows,UCMvJjqVlkSJ9x8hJwcfw4nQ,https://youtube.com/@DatBoi_YT,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/x7OCdzexQGw/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/x7OCdzexQGw/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/x7OCdzexQGw/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/x7OCdzexQGw/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/x7OCdzexQGw/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/x7OCdzexQGw/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/x7OCdzexQGw/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/x7OCdzexQGw/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/x7OCdzexQGw/3.jpg', 'width': 120, 'height': 90}]",48477,"48,477 views",1036,17:16,True,False,False
Gamers Nexus Bought My PC..,"Asmongold Reacts to: Gamers Nexus tears down and reviews a $2400 Starforge Pre-Built Gaming PC (Lowkey Fractal Terra ITX)
by @GamersNexus https://www.youtube.com/watch?v=yI_SN7cpTas
► Asmongold's...",2024-08-28T19:16:25.611Z,8 hours ago,YWLAQY3P8RI,https://youtube.com/watch?v=YWLAQY3P8RI,Asmongold TV  ,UCQeRaTukNYft1_6AZPACnog,https://youtube.com/@AsmonTV,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/YWLAQY3P8RI/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/YWLAQY3P8RI/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/YWLAQY3P8RI/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/YWLAQY3P8RI/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/YWLAQY3P8RI/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/YWLAQY3P8RI/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/YWLAQY3P8RI/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/YWLAQY3P8RI/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/YWLAQY3P8RI/3.jpg', 'width': 120, 'height': 90}]",246300,"246,300 views",4032,1:07:12,True,False,False
I Got In Trouble with Epic Games.,"I got into some trouble with Epic Games. This is that story.
🌟Reboot: 0883-6447-8081
🌟Reboot Zero Build: 4693-7388-9468

#fortnite  #sypherpk  #season4",2024-08-28T17:52:25.611Z,22 hours ago,aXFNnDoRAfs,https://youtube.com/watch?v=aXFNnDoRAfs,SypherPK,UC_q5WZtFp36adwqhKpZzxwQ,https://youtube.com/@SypherPK,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/aXFNnDoRAfs/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/aXFNnDoRAfs/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/aXFNnDoRAfs/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/aXFNnDoRAfs/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/aXFNnDoRAfs/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/aXFNnDoRAfs/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/aXFNnDoRAfs/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/aXFNnDoRAfs/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/aXFNnDoRAfs/3.jpg', 'width': 120, 'height': 90}]",1033557,"1,033,557 views",644,10:44,True,False,False
Very Low Expectations for This,"Get Goof Juice https://gamersupps.gg/?ref=moist
This is the greatest star wars outlaw of All Time
Get a Starforge PC https://starforgepc.com/moist-yt
Merch https://moistglobal.com/
Comics https://b...",2024-08-28T18:22:25.611Z,17 hours ago,e45AK76RY80,https://youtube.com/watch?v=e45AK76RY80,penguinz0,UCq6VFHwMzcMXbuKyG7SQYIg,https://youtube.com/@penguinz0,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/e45AK76RY80/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/e45AK76RY80/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/e45AK76RY80/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/e45AK76RY80/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/e45AK76RY80/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/e45AK76RY80/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/e45AK76RY80/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/e45AK76RY80/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/e45AK76RY80/3.jpg', 'width': 120, 'height': 90}]",724347,"724,347 views",1586,26:26,True,False,False
Minecraft but I'm an EXPERIMENT!,"I don’t think THIS EXPERIMENT is up to scientific standards…
💜 Come take a look at my merch! 💜 https://aphmeow.com/
► Instagram: https://www.instagram.com/aphmau_ 

====. * ･...",2024-08-28T17:40:25.611Z,1 day ago,oZnEpA6aykM,https://youtube.com/watch?v=oZnEpA6aykM,Aphmau,UCzYfz8uibvnB7Yc1LjePi4g,https://youtube.com/@Aphmau,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/oZnEpA6aykM/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/oZnEpA6aykM/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/oZnEpA6aykM/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/oZnEpA6aykM/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/oZnEpA6aykM/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/oZnEpA6aykM/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/oZnEpA6aykM/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/oZnEpA6aykM/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/oZnEpA6aykM/3.jpg', 'width': 120, 'height': 90}]",836305,"836,305 views",1260,21:00,True,False,False
The Admins Unlocked EVERYTHING in Roblox,"We use Admin Commands to unlock EVERYTHING in Roblox Too Many Weapons!

Friends in the Video
⭑ @sigils 
⭑ @BiffleWiffle 
⭑ @Zud 

• Video Editor ► Russell
https://www.youtube.com/russelle...",2024-08-28T17:40:25.611Z,1 day ago,B4KV0jBVokU,https://youtube.com/watch?v=B4KV0jBVokU,SSundee,UCke6I9N4KfC968-yRcd5YRg,https://youtube.com/@SSundee,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/B4KV0jBVokU/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/B4KV0jBVokU/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/B4KV0jBVokU/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/B4KV0jBVokU/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/B4KV0jBVokU/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/B4KV0jBVokU/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/B4KV0jBVokU/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/B4KV0jBVokU/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/B4KV0jBVokU/3.jpg', 'width': 120, 'height': 90}]",657587,"657,587 views",1047,17:27,True,False,False
Fortnite LIED TO US..,"Fortnite LIED TO US..
Item Shop Code: T5G #UseCodeT5G #fortnite 

Follow us on Instagram & Twitter to be informed when we post:
https://twitter.com/Top5Gamingx
https://www.instagram.com/top5gamingx...",2024-08-28T17:46:25.611Z,23 hours ago,uQjMd0NS9zs,https://youtube.com/watch?v=uQjMd0NS9zs,Top5Gaming,UCYn6CZe5UGIyPe9WJb0pTrg,https://youtube.com/@T5G,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/uQjMd0NS9zs/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/uQjMd0NS9zs/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/uQjMd0NS9zs/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/uQjMd0NS9zs/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/uQjMd0NS9zs/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/uQjMd0NS9zs/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/uQjMd0NS9zs/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/uQjMd0NS9zs/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/uQjMd0NS9zs/3.jpg', 'width': 120, 'height': 90}]",592830,"592,830 views",617,10:17,True,False,False
Star Wars Outlaws - Before You Buy,"Star Wars: Outlaws (PC, PS5, Xbox Series X/S) is the latest Ubisoft open world game, but with a Star Wars twist. How is it? Let's talk.
Subscribe for more: http://youtube.com/gameranxtv ▼...",2024-08-28T17:52:25.611Z,22 hours ago,b-4OXtc5Yu8,https://youtube.com/watch?v=b-4OXtc5Yu8,gameranx,UCNvzD7Z-g64bPXxGzaQaa4g,https://youtube.com/@gameranxTV,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/b-4OXtc5Yu8/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/b-4OXtc5Yu8/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/b-4OXtc5Yu8/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/b-4OXtc5Yu8/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/b-4OXtc5Yu8/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/b-4OXtc5Yu8/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/b-4OXtc5Yu8/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/b-4OXtc5Yu8/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/b-4OXtc5Yu8/3.jpg', 'width': 120, 'height': 90}]",639946,"639,946 views",921,15:21,True,False,False
Life of CaseOh Day 4 (SIMS 4),"Join this channel to get access to uploads with no blurs or mutes:
https://www.youtube.com/channel/UC63anZxfVGHUEmfBAf5w7pw/join

Links
Follow 👇
Twitch -- Watch live at https://www.twitch.tv/cas...",2024-08-28T17:52:25.611Z,22 hours ago,k827haARGEM,https://youtube.com/watch?v=k827haARGEM,CaseOh,UC63anZxfVGHUEmfBAf5w7pw,https://youtube.com/@caseoh_,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/k827haARGEM/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/k827haARGEM/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/k827haARGEM/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/k827haARGEM/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/k827haARGEM/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/k827haARGEM/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/k827haARGEM/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/k827haARGEM/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/k827haARGEM/3.jpg', 'width': 120, 'height': 90}]",271159,"271,159 views",3935,1:05:35,True,False,False
The BLACK MYTH WUKONG ENDING is pure cinema,"Enjoy!

Twitter - https://twitter.com/Jev
Twitch - http://www.twitch.tv/Jev
Instagram - http://instagram.com/mrjeverson#

BUY GFUEL HERE WITH MY LINK :)
USE CODE 'JEV' AT CHECKOUT FOR A DISCOUNT...",2024-08-28T17:58:25.611Z,21 hours ago,l4jWvVnpi50,https://youtube.com/watch?v=l4jWvVnpi50,FaZe Jev,UC7trU46U_9XPDtMnDbiDPUQ,https://youtube.com/@Jev,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/l4jWvVnpi50/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/l4jWvVnpi50/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/l4jWvVnpi50/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/l4jWvVnpi50/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/l4jWvVnpi50/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/l4jWvVnpi50/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/l4jWvVnpi50/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/l4jWvVnpi50/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/l4jWvVnpi50/3.jpg', 'width': 120, 'height': 90}]",236912,"236,912 views",2184,36:24,True,False,False
"NBA 2K25 BUILDER REVEAL + LEGEND BADGE GAMEPLAY, MY COURT, AND MORE!","NBA 2K25 BUILDER REVEAL + LEGEND BADGE GAMEPLAY, MY COURT, AND MORE!",2024-08-28T19:46:25.611Z,Streamed 3 hours ago,ZR4prSIhX4o,https://youtube.com/watch?v=ZR4prSIhX4o,BADGEPLUG,UCE8KKL0rUeAUebhbf4aIJ2g,https://youtube.com/@BADGEPLUG,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/ZR4prSIhX4o/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/ZR4prSIhX4o/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/ZR4prSIhX4o/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/ZR4prSIhX4o/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/ZR4prSIhX4o/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/ZR4prSIhX4o/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/ZR4prSIhX4o/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/ZR4prSIhX4o/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/ZR4prSIhX4o/3.jpg', 'width': 120, 'height': 90}]",43024,"43,024 views",7968,2:12:48,True,False,False
ROBLOX MOVIE BATTLE!,"Which Movie is better according to KREW? Let's find out!
Subscribe & never miss a video! http://bit.ly/Funneh
Watch another video! https://youtu.be/QZ3MRpAhABY?si=DkjKupNzHUAQFZj4

*VIDEOS!*...",2024-08-28T17:40:25.611Z,1 day ago,oV6dyeX4Llk,https://youtube.com/watch?v=oV6dyeX4Llk,ItsFunneh,UCUk7VggtJdo9XYTy3Z5QVAw,https://youtube.com/@ItsFunneh,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/oV6dyeX4Llk/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/oV6dyeX4Llk/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/oV6dyeX4Llk/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/oV6dyeX4Llk/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/oV6dyeX4Llk/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/oV6dyeX4Llk/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/oV6dyeX4Llk/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/oV6dyeX4Llk/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/oV6dyeX4Llk/3.jpg', 'width': 120, 'height': 90}]",493118,"493,118 views",1503,25:03,True,False,False
Johnny Is FURIOUS in Minecraft!,"Today, Johnny gets FURIOUS in Minecraft! Will Johnny and his friends be able to make a truce and become friends again or will they hate each other forever? Watch to find out!

#johnny #minecraft...",2024-08-28T17:46:25.611Z,23 hours ago,cLT54kIQUjc,https://youtube.com/watch?v=cLT54kIQUjc,Johnny Minecraft,UCWVSknuLPIRVGWf-4bFKT4Q,https://youtube.com/@JohnnyMinecraftYT,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/cLT54kIQUjc/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/cLT54kIQUjc/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/cLT54kIQUjc/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/cLT54kIQUjc/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/cLT54kIQUjc/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/cLT54kIQUjc/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/cLT54kIQUjc/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/cLT54kIQUjc/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/cLT54kIQUjc/3.jpg', 'width': 120, 'height': 90}]",276097,"276,097 views",1327,22:07,True,False,False
Win Or Lose Let’s Enjoy This High Limit Slot Session,"Let us know what you think of our new website:
https://www.vegasmatt.com/

👇To go right to the merch click the link below👇 
https://vegasmatt.shop/

SUBSCRIBE :)",2024-08-28T17:40:25.611Z,1 day ago,d3bSKswA-kg,https://youtube.com/watch?v=d3bSKswA-kg,Vegas Matt,UCbCQBD9gKSEnNtIqmKY1R3Q,https://youtube.com/@VegasMatt,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/d3bSKswA-kg/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/d3bSKswA-kg/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/d3bSKswA-kg/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/d3bSKswA-kg/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/d3bSKswA-kg/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/d3bSKswA-kg/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/d3bSKswA-kg/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/d3bSKswA-kg/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/d3bSKswA-kg/3.jpg', 'width': 120, 'height': 90}]",318212,"318,212 views",2756,45:56,True,False,False
